tipo;nueva;codigo;nombre;organismo;monto_clp;cierre;motivos;link
POSIBLE;sí;734-163-COT26;servicio de transporte de funcionarios del COSAM Coyhaique durante el mes de octubre de 2026;SERVICIO DE SALUD AYSEN CARLOS IBANEZ DEL CAMPO;3400000;24-09 00:00;radio;https://buscador.mercadopublico.cl/ficha?code=734-163-COT26
POSIBLE;;4066-387-COT26;ADQ. DE EQUIPAMIENTO AUDIOVISUAL PROGRAMA FOMENTO PRODUCTIVO ;I MUNICIPALIDAD RIO IBANEZ;2813000;24-09 06:00;audiovisual;https://buscador.mercadopublico.cl/ficha?code=4066-387-COT26
POSIBLE;sí;2713-1154-COT26;EQUIPAMIENTO PARA RADIO FM. SOLICITUD 1188 ALCALDIA.;I MUNICIPALIDAD DE AYSEN;4376140;24-09 07:01;radio;https://buscador.mercadopublico.cl/ficha?code=2713-1154-COT26
POSIBLE;sí;1057062-418-COT26;Servicios de Producción Audiovisual - Videos Institucionales Red 22992;UNIVERSIDAD DE AYSEN;7100000;24-09 07:30;audiovisual;https://buscador.mercadopublico.cl/ficha?code=1057062-418-COT26
POSIBLE;sí;1201-161-COT26;CREDENCIALES DELEGACIÓN REGIÓN DE AYSÉN 2026 “JUEGOS DEPORTIVOS ESCOLARES”;INSTITUTO NACIONAL DE DEPORTES DE CHILE;250000;24-09 10:00;publicidad, publicitarios;https://buscador.mercadopublico.cl/ficha?code=1201-161-COT26
POSIBLE;;1405-32-COT26;Adquisición pendón TIPO ARAÑA GET;DELEGACIÓN PRESIDENCIAL PROVINCIAL DE CAPITÁN PRAT;84000;24-09 12:00;publicitarios;https://buscador.mercadopublico.cl/ficha?code=1405-32-COT26
OPORTUNIDAD;sí;2495-518-COT26;SERVICIO DE PRODUCCIÓN DE EVENTOS PARA SEMINARIO EMPRESARIAS AL FIN DEL MUNDO;I MUNICIPALIDAD DE COYHAIQUE;6000000;25-09 06:00;Ventas y marketing;https://buscador.mercadopublico.cl/ficha?code=2495-518-COT26
POSIBLE;sí;4066-394-COT26; SERVICIO DE PUBLICACIÓN DE NOTA DE PRENSA INSTITUCIONAL EN MEDIO DE COMUNICACIÓN REGIONAL;I MUNICIPALIDAD RIO IBANEZ;990465;25-09 07:00;difusión, publicidad;https://buscador.mercadopublico.cl/ficha?code=4066-394-COT26
OPORTUNIDAD;sí;4066-393-COT26;SERVICIO DE DIFUSION EN REDES SOCIALES DIGITALES DE LAS ACTIVIDADES DEL PROGRAMA DE TRANSFERENCIA DE FORTALECIMIENTO PRODUCTIVO PARA LA COMUNA DE RÍO IBAÑEZ CODIGO BIP 40066883-0;I MUNICIPALIDAD RIO IBANEZ;1500000;25-09 07:00;Inserciones publicitarias en medios;https://buscador.mercadopublico.cl/ficha?code=4066-393-COT26
OPORTUNIDAD;sí;4066-392-COT26;SERV. DE DIFUSION A TRAVES RADIAL DEL PROGRAMA TRANSFERENCIA DE FORTALECIMIENTO PRODUCTIVO PARA LA COMUNA DE RIO IBAÑEZ CODIGO BIP 40066883-0;I MUNICIPALIDAD RIO IBANEZ;1296000;25-09 07:00;Publicidad en medios no impresos;https://buscador.mercadopublico.cl/ficha?code=4066-392-COT26
OPORTUNIDAD;sí;4066-391-COT26;SERVICIO  DE DIFUSION TELEVISIVA COMPONENTE DE COMUNICACION Y DIFUSION DEL PROGRAMA TRANSFERENCIA DE FORTALECIMIENTO PROCUTIVO PARA LA COMUNA DE RIO IBÁÑEZ CODIGO BIP 40066883-0;I MUNICIPALIDAD RIO IBANEZ;1200000;25-09 07:00;Publicidad en medios no impresos;https://buscador.mercadopublico.cl/ficha?code=4066-391-COT26
OPORTUNIDAD;sí;1746-224-COT26;Contratación de agencia de comunicaciones-Plan Hantavirus (P 457 SEREMI);SUBSECRETARIA DE SALUD PUBLICA;3000000;25-09 10:00;Publicidad en medios no impresos;https://buscador.mercadopublico.cl/ficha?code=1746-224-COT26
