tipo;nueva;codigo;nombre;organismo;monto_clp;cierre;motivos;link
OPORTUNIDAD;;1043-39-COT26;Solicitud de cotización materiales para trabajos aeródromo Lago Verde;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;2238080;24-09 12:00;Conectores, enchufes y terminales;https://buscador.mercadopublico.cl/ficha?code=1043-39-COT26
OPORTUNIDAD;;4218-11-COT26;Servicio reparación de vivienda fiscal Calle José Miguel Carrera N° 531 Ciudad Coyhaique.-;Dirección General de Aeronáutica Civil;4329620;24-09 12:00;Gasfitería, calefacción y aire acondicionado;https://buscador.mercadopublico.cl/ficha?code=4218-11-COT26
POSIBLE;sí;1195-496-COT26;Servicios Eléctricos ;I MUNICIPALIDAD DE COYHAIQUE;3000000;24-09 14:00;electricidad, eléctrico, eléctricos, instalaciones eléctricas, servicios eléctricos;https://buscador.mercadopublico.cl/ficha?code=1195-496-COT26
POSIBLE;;1343645-108-COT26;Instalación Estufas a Pellet ;I MUNICIPALIDAD DE O HIGGINS;1500000;24-09 14:00;instalación eléctrica;https://buscador.mercadopublico.cl/ficha?code=1343645-108-COT26
OPORTUNIDAD;sí;418-1409-COT26;ENFRIADOR DE AIRE CLIMATIZADOR PORTATIL, VENTILADOR Y CALEFACTOR ;SERVICIO NACIONAL DE SALUD HOSPITAL DE PUERTO AYSEN;700000;24-09 14:19;Enfriamiento (aires acondicionados);https://buscador.mercadopublico.cl/ficha?code=418-1409-COT26
OPORTUNIDAD;sí;3171-143-COT26;ADQUISICIÓN DE INTERRUPTORES DE BATERIA, RELES ACR Y FUSIBLES 60 AMP PARA LPM ARCANGEL 4409;GOBERNACION MARITIMA DE AYSEN;2173333;24-09 15:30;Interruptores, controles y relés;https://buscador.mercadopublico.cl/ficha?code=3171-143-COT26
POSIBLE;sí;886182-202-COT26;Adquisición de 2 estufas de calefacción eléctrica_FISABS 2225;UNIVERSIDAD DE AYSEN;360000;25-09 05:30;certificación sec, eléctrico;https://buscador.mercadopublico.cl/ficha?code=886182-202-COT26
OPORTUNIDAD;sí;5019-55-COT26;Adquisición de Elementos de Construcción;Ejercito de Chile;340000;25-09 06:00;Cables eléctricos y accesorios, Cajas y accesorios eléctricos, Conectores, enchufes y terminales;https://buscador.mercadopublico.cl/ficha?code=5019-55-COT26
POSIBLE;sí;3791-967-COT26;AUDIO Y ILUMINACION ;I MUNICIPALIDAD DE CISNES;2500000;25-09 07:00;iluminación;https://buscador.mercadopublico.cl/ficha?code=3791-967-COT26
POSIBLE;sí;1043-40-COT26;"Solicitud de cotización esmeril angular 7"" CAD";MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;210000;25-09 08:00;interruptor;https://buscador.mercadopublico.cl/ficha?code=1043-40-COT26
OPORTUNIDAD;sí;418-1407-COT26;COHM-SERVICIO DE SUMINISTRO Y INSTALACION DE EQUIPOS SPLIT MURO INVERTER R32 ECO FLOW 18.000 BTU ;SERVICIO NACIONAL DE SALUD HOSPITAL DE PUERTO AYSEN;1700000;25-09 10:00;Enfriamiento (aires acondicionados);https://buscador.mercadopublico.cl/ficha?code=418-1407-COT26
OPORTUNIDAD;;951405-245-COT26;(F.INT_CC.PELUQUERÍA) JAL_CAJ_ADQ. DE EQUIPO DE AIRE ACONDICIONADO PARA LA PELUQUERÍA DEL CIELB.;JEFATURA ADMINISTRATIVA Y LOGISTICA DE LA GUARNICION COYHAIQUE;570000;25-09 10:41;Enfriamiento (aires acondicionados);https://buscador.mercadopublico.cl/ficha?code=951405-245-COT26
OPORTUNIDAD;sí;4644-71-COT26;SERVICIO DE MANTENCIÓN Y REPARACIÓN DE CALDERA DE RESERVA NACIONAL RIO SIMPSON;CORP NACIONAL FORESTAL;1200000;25-09 11:30;Gasfitería, calefacción y aire acondicionado;https://buscador.mercadopublico.cl/ficha?code=4644-71-COT26
POSIBLE;;907-79-COT26;AAH CAMBIO DE LUMINARIAS LABORATORIO;SERVICIO AGRICOLA Y GANADERO;2200000;25-09 12:00;eléctricos, interruptor, interruptores, luminarias;https://buscador.mercadopublico.cl/ficha?code=907-79-COT26
OPORTUNIDAD;;4626-30-COT26;Servicio anual mantención y reparación de Calefactores Murales a Gas para oficinas dependientes de la Dirección Regional del Trabajo de Aysén.;DIRECCION DEL TRABAJO;1500000;25-09 12:00;Gasfitería, calefacción y aire acondicionado;https://buscador.mercadopublico.cl/ficha?code=4626-30-COT26
OPORTUNIDAD;;951405-240-COT26;(REME_IDPM) DESMOT_FTC_ADQUISICIÓN DE MATERIALES DE REPARACIÓN PARA LA UNIDAD;JEFATURA ADMINISTRATIVA Y LOGISTICA DE LA GUARNICION COYHAIQUE;1620104;25-09 13:51;Conectores, enchufes y terminales;https://buscador.mercadopublico.cl/ficha?code=951405-240-COT26
OPORTUNIDAD;;2495-501-COT26;Adquisición de camisa de quemador tubular para caldera a gas mural Genus Premium Evo HP 150 k/h;I MUNICIPALIDAD DE COYHAIQUE;200000;26-09 06:20;Gasfitería, calefacción y aire acondicionado;https://buscador.mercadopublico.cl/ficha?code=2495-501-COT26
OPORTUNIDAD;;1201-156-COT26;REPARACIÓN Y REPOSICIÓN CANALETAS, HOJALATERIA Y SELLOS DE PAREDES EN ESTADIO REGIONAL IND COYHAIQUE;INSTITUTO NACIONAL DE DEPORTES DE CHILE;4000000;26-09 13:00;Servicios eléctricos;https://buscador.mercadopublico.cl/ficha?code=1201-156-COT26
OPORTUNIDAD;;4778-285-COT26;VEM-ALMOHADAS, CUBRE COLCHÓN, JUEGO DE VAJILLA, JUEGO DE VASOS, TAZONES, INDIVIDUALES, CUCHARAS, CUCHARA DE TÉ, TENEDOR, CUCHILLO, ALARGADOR O ZAPATILLA ELÉCTRICA;SERVICIO NACIONAL DE SALUD HOSPITAL DE C;380109;27-09 02:18;Conectores, enchufes y terminales;https://buscador.mercadopublico.cl/ficha?code=4778-285-COT26
